"lang"
{
"Language"	"ukrainian"
"[english]L4D_spawn_select_mode_smoker_title"	"YOU WILL SPAWN AS A SMOKER"
"L4D_spawn_select_mode_smoker_text"	"Ви відродитесь як Курець"
"[english]L4D_spawn_select_mode_smoker_text"	"You will spawn as a Smoker"
"L4D_spawn_select_mode_smoker_secondary"	"Захоплення язиком"
"[english]L4D_spawn_select_mode_smoker_secondary"	"Tongue Snare"
"L4D_spawn_select_mode_smoker_1_title"	"ЗАХОПЛЕННЯ ЯЗИКОМ"
"[english]L4D_spawn_select_mode_smoker_1_title"	"Primary: TONGUE SNARE"
"L4D_spawn_select_mode_smoker_1_text"	"Довга відстань"
"[english]L4D_spawn_select_mode_smoker_1_text"	"Attack at long range"
"L4D_spawn_select_mode_smoker_2_title"	"КІГТІ"
"[english]L4D_spawn_select_mode_smoker_2_title"	"Secondary: CLAW"
"L4D_spawn_select_mode_smoker_2_text"	"Коротка відстань"
"[english]L4D_spawn_select_mode_smoker_2_text"	"Attack at short range"
"L4D_spawn_select_mode_boomer_title"	"ВИ ВІДРОДИТЕСЬ ЯК ТОВСТУН"
"[english]L4D_spawn_select_mode_boomer_title"	"YOU WILL SPAWN AS A BOOMER"
"L4D_spawn_select_mode_boomer_text"	"Ви відродитесь як Товстун"
"[english]L4D_spawn_select_mode_boomer_text"	"You will spawn as a Boomer"
"L4D_spawn_select_mode_primary"	"Атака кігтями"
"[english]L4D_spawn_select_mode_primary"	"Claw Attack"
"L4D_spawn_select_mode_cant_spawn"	"Тут не можна відродитися"
"[english]L4D_spawn_select_mode_cant_spawn"	"You can't spawn here"
"L4D_spawn_select_mode_in_sight"	"Вас можуть побачити Уцілілі"
"[english]L4D_spawn_select_mode_in_sight"	"You can be seen by the Survivors"
"L4D_spawn_select_mode_too_close"	"Ви знаходитеся занадто близько до Уцілілих"
"[english]L4D_spawn_select_mode_too_close"	"You are too close to the Survivors"
"L4D_spawn_select_mode_restricted_area"	"Це заборонена зона"
"[english]L4D_spawn_select_mode_restricted_area"	"This is a restricted area"
"L4D_spawn_select_mode_inside_entity"	"Щось блокує це місце"
"[english]L4D_spawn_select_mode_inside_entity"	"Something is blocking this spot"
"L4D_spawn_select_mode_spitter_title"	"ВИ ВІДРОДИТЕСЬ ЯК ПЛЮВАЛЬНИЦЯ"
"[english]L4D_spawn_select_mode_spitter_title"	"YOU WILL SPAWN AS A SPITTER"
"L4D_spawn_select_mode_spitter_text"	"Ви відродитесь як Плювальниця"
"[english]L4D_spawn_select_mode_spitter_text"	"You will spawn as a Spitter"
"L4D_spawn_select_mode_spitter_1_title"	"Основне: ПЛЮВОК"
"[english]L4D_spawn_select_mode_spitter_1_title"	"Primary: SPIT"
"L4D_spawn_select_mode_spitter_1_text"	"Відстань від середньої до великої"
"[english]L4D_spawn_select_mode_spitter_1_text"	"Attack at medium to long range"
"L4D_spawn_select_mode_spitter_2_title"	"Допоміжне: КІГТІ"
"[english]L4D_spawn_select_mode_spitter_2_title"	"Secondary: CLAW"
"L4D_spawn_select_mode_spitter_2_text"	"Коротка відстань"
"[english]L4D_spawn_select_mode_spitter_2_text"	"Attack at short range"
"L4D_spawn_select_mode_jockey_title"	"ВИ ВІДРОДИТЕСЬ ЯК ЖОКЕЙ"
"[english]L4D_spawn_select_mode_jockey_title"	"YOU WILL SPAWN AS A JOCKEY"
"L4D_spawn_select_mode_jockey_text"	"Ви відродитесь як Жокей"
"[english]L4D_spawn_select_mode_jockey_text"	"You will spawn as a Jockey"
"L4D_spawn_select_mode_jockey_1_title"	"Основне: СТРИБОК"
"[english]L4D_spawn_select_mode_jockey_1_title"	"Primary: LEAP"
"L4D_spawn_select_mode_jockey_1_text"	"Стрибайте на Уцілілих і ведіть їх в небезпечні місця"
"[english]L4D_spawn_select_mode_jockey_1_text"	"Jump on Survivors and steer them into danger"
"L4D_spawn_select_mode_jockey_2_title"	"Допоміжне: КІГТІ"
"[english]L4D_spawn_select_mode_jockey_2_title"	"Secondary: CLAW"
"L4D_spawn_select_mode_jockey_2_text"	"Коротка відстань"
"[english]L4D_spawn_select_mode_jockey_2_text"	"Attack at short range"
"L4D_spawn_select_mode_charger_title"	"ВИ ВІДРОДИТЕСЬ ЯК БУРМИЛО"
"[english]L4D_spawn_select_mode_charger_title"	"YOU WILL SPAWN AS A CHARGER"
"L4D_spawn_select_mode_charger_text"	"Ви відродитесь як Бурмило"
"[english]L4D_spawn_select_mode_charger_text"	"You will spawn as a Charger"
"L4D_spawn_select_mode_charger_1_title"	"Основне: РИВОК"
"[english]L4D_spawn_select_mode_charger_1_title"	"Primary: CHARGE"
"L4D_spawn_select_mode_charger_1_text"	"Тараньте Уцілілих і починайте молотити їх"
"[english]L4D_spawn_select_mode_charger_1_text"	"Charge into Survivors and pummel them"
"L4D_spawn_select_mode_charger_2_title"	"Допоміжне: КІГТІ"
"[english]L4D_spawn_select_mode_charger_2_title"	"Secondary: CLAW"
"L4D_spawn_select_mode_charger_2_text"	"Коротка відстань"
"[english]L4D_spawn_select_mode_charger_2_text"	"Attack at short range"
"L4D_pz_team_join_title"	"ГРАТИ ЗА Інфікованих"
"[english]L4D_pz_team_join_title"	"PLAY AS INFECTED"
"L4D_pz_team_join_subtitle"	"Виберіть клас, яким ви хотіли б грати. Обраний вами клас не завжди може бути доступний на момент вашого відродження."
"[english]L4D_pz_team_join_subtitle"	"Select the class you prefer to play. The class you choose may not always be available when you are ready to spawn."
"L4D_pz_class_select_title"	"ВИБЕРІТЬ КЛАС Інфікованого"
"[english]L4D_pz_class_select_title"	"INFECTED CLASS SELECT"
"L4D_s_team_join_title"	"ПІДКЛЮЧЕННЯ ДО КОМАНДИ Уцілілих"
"[english]L4D_s_team_join_title"	"JOINING THE SURVIVOR TEAM"
"L4D_s_team_join_takeover_title"	"ПОКА ЩО СПОСТЕРІГАЄ"
"[english]L4D_s_team_join_takeover_title"	"CURRENTLY SPECTATING"
"L4D_s_team_join_subtitle"	"Виберіть доступного Уцілілого"
"[english]L4D_s_team_join_subtitle"	"Select an available Survivor"
"L4D_s_team_join_state_inactive"	"(неактивно)"
"[english]L4D_s_team_join_state_inactive"	"(inactive)"
"L4D_s_team_join_state_bot"	"%s1 (БОТ)"
"[english]L4D_s_team_join_state_bot"	"%s1 (BOT)"
"L4D_s_team_join_state_loading"	"%s1 (ЗАВАНТАЖЕННЯ)"
"[english]L4D_s_team_join_state_loading"	"%s1 (LOADING)"
"L4D_s_team_join_hour_played"	"1 годину у грі"
"[english]L4D_s_team_join_hour_played"	"1 hour played"
"L4D_s_team_join_hours_played"	"%s1 г. у грі"
"[english]L4D_s_team_join_hours_played"	"%s1 hours played"
"L4D_s_class_select_title"	"ВИБІР ПЕРСОНАЖУ Уцілілих"
"[english]L4D_s_class_select_title"	"SURVIVOR CHARACTER SELECT"
"L4D_s_team_full_title"	"КОМАНДА Уцілілих СПОВНЕНА"
"[english]L4D_s_team_full_title"	"SURVIVOR TEAM IS FULL"
"L4D_s_team_full_subtitle"	"У команді Уцілілих вже є чотири гравця"
"[english]L4D_s_team_full_subtitle"	"The Survivor team already has four players"
"L4D_pz_team_full_title"	"КОМАНДА Інфікованих СПОВНЕНА"
"[english]L4D_pz_team_full_title"	"INFECTED TEAM IS FULL"
"L4D_pz_team_full_subtitle"	"У команді Інфікованих вже є чотири гравця"
"[english]L4D_pz_team_full_subtitle"	"The Infected team already has four players"
"L4D_both_team_full_title"	"ОБИДВІ КОМАНДИ СПОВНЕНІ"
"[english]L4D_both_team_full_title"	"BOTH TEAMS ARE FULL"
"L4D_both_team_full_subtitle"	"В обох командах вже є по чотири гравці"
"[english]L4D_both_team_full_subtitle"	"There are already four players on both teams"
"L4D_team_menu_full"	"НЕМАЄ МІСЦЬ"
"[english]L4D_team_menu_full"	"FULL"
"L4D_Lobby_Title"	"ЛОБІ КАМПАНІЇ"
"[english]L4D_Lobby_Title"	"CAMPAIGN LOBBY"
"L4D_Lobby_Subtitle"	"Зберіть команду для битви з ордою Інфікованих"
"[english]L4D_Lobby_Subtitle"	"Gather your team to fight the Infected horde"
"L4D_Lobby_Status_Waiting"	"Очікування приєднання чотирьох гравців"
"[english]L4D_Lobby_Status_Waiting"	"Waiting for four players to join"
"L4D_Lobby_PlayerSlotAvailable"	"Вільно місце для гравця"
"[english]L4D_Lobby_PlayerSlotAvailable"	"Player slot available"
"L4D_Lobby_Button_StartGame"	"ПОЧАТИ ГРУ"
"[english]L4D_Lobby_Button_StartGame"	"START THE GAME"
"L4D_Lobby_PlayerDropDown"	"Заглушити гравця, послати повідомлення гравцеві або переглянути сторінку Steam ID гравця.\nБудучі лідером лобі, ви можете вигнати гравця зі свого лобі."
"[english]L4D_Lobby_PlayerDropDown"	"Mute, send a message to, or view the Steam ID page of the player.\nAs a Lobby Leader you may kick the player from the lobby."
"L4D_class_special_ability_title"	"ОСОБАЯ СПОСОБНОСТЬ:"
"[english]L4D_class_special_ability_title"	"ОСОБЛИВА ЗДІБНІСТЬ:"
"L4D_class_primary_attack_title"	"ОСНОВНА АТАКА:"
"[english]L4D_class_primary_attack_title"	"PRIMARY ATTACK:"
"L4D_class_hunter_name"	"Мисливець"
"[english]L4D_class_hunter_name"	"Hunter"
"L4D_class_hunter_ability_text"	"ОСОБЛИВА ЗДІБНІСТЬ: Кидок із захопленням\nСтрибає на великі відстані і захоплює Уцілілих завдаючи їм шкоди."
"[english]L4D_class_hunter_ability_text"	"SPECIAL ABILITY: Pounce\nLeap great distances and pounce Survivors to damage."
"L4D_class_boomer_name"	"Товстун"
"[english]L4D_class_boomer_name"	"Boomer"
"L4D_class_boomer_ability_text"	"ОСОБЛИВА ЗДІБНІСТЬ: Блювота\nЗабризкує Уцілілих блювотою, запах якої привертає орду. Вмираючи, вибухає, розбризкуючи блювоту навколо себе."
"[english]L4D_class_boomer_ability_text"	"SPECIAL ABILITY: Vomit\nVomit bile on Survivors to attract the horde. Death results in an explosive shower of bile."
"L4D_class_smoker_name"	"Курець"
"[english]L4D_class_smoker_name"	"Smoker"
"L4D_class_smoker_ability_text"	"ОСОБЛИВА ЗДІБНІСТЬ: Язик-ласо\nДушить Уцілілих за допомогою язика. Ховайтеся за перешкодами або на височинах, щоб звідти хапати нічого непідозрюючих Уцілілих."
"[english]L4D_class_smoker_ability_text"	"SPECIAL ABILITY: Tongue Snare\nConstrict Survivors with your tongue. Use elevation or obstacles to ensnare unsuspecting Survivors."
"L4D_class_spitter_name"	"Плювальниця"
"[english]L4D_class_spitter_name"	"Spitter"
"L4D_class_spitter_ability_text"	"ОСОБЛИВА ЗДІБНІСТЬ: плювок\nВипльовуйте їдку кислоту на Уцілілих, щоб вони розійшлися у боки один від одного"
"[english]L4D_class_spitter_ability_text"	"SPECIAL ABILITY: Spit\nSpew noxious waste to separate Survivors from one another."
"L4D_class_charger_name"	"Бурмило"
"[english]L4D_class_charger_name"	"Charger"
"L4D_class_charger_ability_text"	"ОСОБЛИВА ЗДІБНІСТЬ: таран\nХапайте Уцілілих і тягнуть їх геть від інших."
"[english]L4D_class_charger_ability_text"	"SPECIAL ABILITY: Charge\nGrab Survivors and carry them away from their team."
"L4D_class_jockey_name"	"Жокей"
"[english]L4D_class_jockey_name"	"Jockey"
"L4D_class_jockey_ability_text"	"ОСОБЛИВА ЗДІБНІСТЬ: стрибок\nЗастрибуйте на Уцілілих і направляйте їх в небезпечні місця."
"[english]L4D_class_jockey_ability_text"	"SPECIAL ABILITY: Leap\nJump on Survivors and steer them into obstacles."
"L4D_class_random_name"	"Випадково"
"[english]L4D_class_random_name"	"Random"
"L4D_class_random_ability_text"	"Випадковим чином вибирає клас при кожному відродженні."
"[english]L4D_class_random_ability_text"	"Randomly selects a class each time you spawn."
"L4D_class_tank_name"	"Танк"
"[english]L4D_class_tank_name"	"Tank"
"L4D_class_witch_name"	"Відьма"
"[english]L4D_class_witch_name"	"Witch"
"L4D_class_infected_name"	"Інфікований"
"[english]L4D_class_infected_name"	"Infected"
"L4D_class_hunter_player_name"	"%s1 (Мисливець)"
"[english]L4D_class_hunter_player_name"	"%s1 (Hunter)"
"L4D_class_boomer_player_name"	"%s1 (Товстун)"
"[english]L4D_class_boomer_player_name"	"%s1 (Boomer)"
"L4D_class_smoker_player_name"	"%s1 (Курець)"
"[english]L4D_class_smoker_player_name"	"%s1 (Smoker)"
"L4D_class_spitter_player_name"	"%s1 (Плювальниця)"
"[english]L4D_class_spitter_player_name"	"%s1 (Spitter)"
"L4D_class_charger_player_name"	"%s1 (Бурмило)"
"[english]L4D_class_charger_player_name"	"%s1 (Charger)"
"L4D_class_jokcey_player_name"	"%s1 (Жокей)"
"[english]L4D_class_jokcey_player_name"	"%s1 (Jockey)"
"L4D_class_tank_player_name"	"%s1 (Танк)"
"[english]L4D_class_tank_player_name"	"%s1 (Tank)"
"L4D_spectator_select_side"	"ВИБЕРІТЬ СВОЮ СТОРОНУ"
"[english]L4D_spectator_select_side"	"SELECT A SIDE TO JOIN"
"L4D_spectator_cant_change_teams"	"ЗМІНА КОМАНДИ НЕДОСТУПНА"
"[english]L4D_spectator_cant_change_teams"	"UNABLE TO CHANGE TEAMS"
"L4D_spectator_team_change_limit"	"Ви змінили команду максимальну кількість раз для цієї мапи."
"[english]L4D_spectator_team_change_limit"	"You have reached the maximum number of team changes allowed for this map."
"L4D_spectator_waiting_for_players"	"Ви повинні почекати, поки не завантажаться інші гравці."
"[english]L4D_spectator_waiting_for_players"	"You must wait until all players have loaded."
"L4D_spectator_team_on_team_game"	"Ви не можете змінювати команди в грі однієї команди проти іншої"
"[english]L4D_spectator_team_on_team_game"	"You cannot change teams in a team vs. team game."
"L4D_s_bot_control_subtitle"	"Грати у ролі %s1"
"[english]L4D_s_bot_control_subtitle"	"Press to play as %s1"
"L4D_s_team_ready_title"	"ПІДГОТОВКА КОМАНДИ"
"[english]L4D_s_team_ready_title"	"WAITING FOR ROUND TO START"
"L4D_s_team_ready_subtitle"	"Готуйтеся небезпечної пригоди, яка на вас очікує"
"[english]L4D_s_team_ready_subtitle"	"Gear up for the dangerous journey ahead"
"L4D_s_team_ready_seconds_1"	"СЕК."
"[english]L4D_s_team_ready_seconds_1"	"SECONDS UNTIL"
"L4D_s_team_ready_seconds_2"	"НА ПІДГОТОВКУ"
"[english]L4D_s_team_ready_seconds_2"	"ROUND BEGINS"
"L4D_s_team_ready_please_wait"	"ДОЧЕКАЙТЕСЬ ІНШИХ ЧЛЕНІВ КОМАНДИ"
"[english]L4D_s_team_ready_please_wait"	"PLEASE WAIT FOR YOUR TEAMMATES"
"L4D_s_team_ready_playtest"	"ДОЧЕКАЙТЕСЬ ПРИЄДНАННЯ ІНШИХ ГРАВЦІВ"
"[english]L4D_s_team_ready_playtest"	"PLEASE WAIT FOR ALL PLAYERS TO JOIN"
"L4D_teammate_is_in_peril"	"ЧЛЕН КОМАНДИ У БІДИ"
"[english]L4D_teammate_is_in_peril"	"A TEAMMATE IS IN TROUBLE"
"L4D_teammate_is_in_peril_use"	"НАТИСНІТЬ КНОПКУ %s1, ЩОБ ПОБАЧИТИ ЙОГО"
"[english]L4D_teammate_is_in_peril_use"	"PRESS THE %s1 BUTTON TO SEE THEM"
"L4D_teammate_is_in_peril_use_word"	"ВИКОРИСТАТИ"
"[english]L4D_teammate_is_in_peril_use_word"	"USE"
"L4D_progress_reviving_friend"	"ДОПОМОГА ЧЛЕНУ КОМАНДИ"
"[english]L4D_progress_reviving_friend"	"REVIVING TEAMMATE"
"L4D_progress_being_revived"	"ЙДЕ НАДАННЯ ДОПОМОГИ"
"[english]L4D_progress_being_revived"	"BEING REVIVED"
"L4D_progress_helping_friend_up"	"ДОПОМОГА ДРУГУ"
"[english]L4D_progress_helping_friend_up"	"HELPING YOUR FRIEND UP"
"L4D_progress_being_helped_up"	"ВАМ ДОПОМАГАЮТЬ"
"[english]L4D_progress_being_helped_up"	"BEING HELPED UP"
"L4D_progress_heal"	"САМОЛІКУВАННЯ"
"[english]L4D_progress_heal"	"HEALING YOURSELF"
"L4D_progress_heal_friend"	"ЛІКУВАННЯ ЧЛЕНА КОМАНДИ"
"[english]L4D_progress_heal_friend"	"HEALING TEAMMATE"
"L4D_progress_being_healed"	"ВАС ЛІКУЮТЬ"
"[english]L4D_progress_being_healed"	"BEING HEALED"
"L4D_progress_reviving_player"	"Вас рятує %s1"
"[english]L4D_progress_reviving_player"	"Your savior: %s1"
"L4D_progress_healing_player"	"Вас лікує гравець %s1"
"[english]L4D_progress_healing_player"	"Your healer: %s1"
"L4D_progress_healing_target"	"Ваша ціль: гравець %s1"
"[english]L4D_progress_healing_target"	"Your target: %s1"
"L4D_progress_giving_ammo"	"ПЕРЕДАЧА ПАТРОНІВ"
"[english]L4D_progress_giving_ammo"	"GIVING AMMO"
"L4D_progress_giving_ammo_to_self"	"ВІДКРИВАННЯ КОРОБКИ З ПАТРОНАМИ"
"[english]L4D_progress_giving_ammo_to_self"	"OPENING AMMO PACK"
"L4D_progress_being_given_ammo"	"ОТРИМАННЯ ПАТРОНІВ"
"[english]L4D_progress_being_given_ammo"	"GETTING AMMO"
"L4D_progress_giving_ammo_target"	"Ваша ціль: гравець %s1"
"[english]L4D_progress_giving_ammo_target"	"Your target: %s1"
"L4D_progress_defibrillator"	"ВИКОРИСТАННЯ ДЕФІБРИЛЯТОРА"
"[english]L4D_progress_defibrillator"	"USING DEFIBRILLATOR"
"L4D_progress_defibrillator_target"	"Ваша ціль: гравець %s1"
"[english]L4D_progress_defibrillator_target"	"Your target: %s1"
"L4D_progress_open_upgrade_pack_incendiary"	"КЛАДУТЬСЯ ЗАПАЛЮВАЛЬНІ ПАТРОНИ"
"[english]L4D_progress_open_upgrade_pack_incendiary"	"DEPLOYING INCENDIARY AMMO"
"L4D_progress_open_upgrade_pack_explosive"	"КЛАДУТЬСЯ РОЗРИВНІ ПАТРОНИ"
"[english]L4D_progress_open_upgrade_pack_explosive"	"DEPLOYING EXPLOSIVE AMMO"
"L4D_progress_using_gas_can"	"ВИЛИВАННЯ ПАЛИВА"
"[english]L4D_progress_using_gas_can"	"POURING FUEL"
"L4D_progress_using_cola_bottles"	"ПРИКРІПЛЕННЯ ПЛЯШОК З КОЛОЮ"
"[english]L4D_progress_using_cola_bottles"	"ATTACHING COLA BOTTLES"
"L4D_progress_using_cola_bottles_alt1"	"ДОСТАВКА ПЛЯШОК З КОЛОЮ"
"[english]L4D_progress_using_cola_bottles_alt1"	"DELIVERING COLA BOTTLES"
"L4D_progress_using_cola_bottles_alt2"	"ДОБУВАННЯ ПЛЯШОК З КОЛОЮ"
"[english]L4D_progress_using_cola_bottles_alt2"	"SUPPLYING COLA BOTTLES"
"L4D_btn_ok"	"OK"
"[english]L4D_btn_ok"	"OK"
"L4D_btn_select"	"ВИБРАТИ"
"[english]L4D_btn_select"	"SELECT"
"L4D_btn_cancel"	"ВІДМІНА"
"[english]L4D_btn_cancel"	"CANCEL"
"L4D_btn_spectate"	"СПОСТЕРІГАТИ"
"[english]L4D_btn_spectate"	"SPECTATE"
"L4D_btn_continue"	"ДАЛІ"
"[english]L4D_btn_continue"	"CONTINUE"
"L4D_btn_dont_show_again"	"Більше не показувати"
"[english]L4D_btn_dont_show_again"	"Don't show me this again"
"L4D_btn_dont_show_hunter_again"	"Більше не показувати інформацію про Мисливця"
"[english]L4D_btn_dont_show_hunter_again"	"Don't show me Hunter info again"
"L4D_btn_dont_show_smoker_again"	"Більше не показувати інформацію про Курця"
"[english]L4D_btn_dont_show_smoker_again"	"Don't show me Smoker info again"
"L4D_btn_dont_show_boomer_again"	"Більше не показувати інформацію про Товстуна"
"[english]L4D_btn_dont_show_boomer_again"	"Don't show me Boomer info again"
"L4D_btn_dont_show_spitter_again"	"Більше не показувати інформацію про Плювальницю"
"[english]L4D_btn_dont_show_spitter_again"	"Don't show me Spitter info again"
"L4D_btn_dont_show_charger_again"	"Більше не показувати інформацію про Бурмила"
"[english]L4D_btn_dont_show_charger_again"	"Don't show me Charger info again"
"L4D_btn_dont_show_jockey_again"	"Більше не показувати інформацію про Жокея"
"[english]L4D_btn_dont_show_jockey_again"	"Don't show me Jockey info again"
"L4D_btn_play_survivor"	"ГРАТИ ЗА Уцілілих"
"[english]L4D_btn_play_survivor"	"PLAY AS A SURVIVOR"
"L4D_btn_play_infected"	"ГРАТИ ЗА Інфікованих"
"[english]L4D_btn_play_infected"	"PLAY AS AN INFECTED"
"L4D_HIT_ASSIST_ATTACK"	"Гравець %s1 б'є персонажа %s2, йому допомагає %s3"
"[english]L4D_HIT_ASSIST_ATTACK"	"%s1 hit %s2, assisted by %s3"
"L4D_HIT_ATTACK"	"Гравець %s1 б'є персонажа %s2"
"[english]L4D_HIT_ATTACK"	"%s1 hit %s2"
"L4D_HIT_ASSIST"	"Гравець %s1 допомагає в бою з персонажем %s2"
"[english]L4D_HIT_ASSIST"	"%s1 assisted against %s2"
"L4D_HIT_PUSH_ASSIST_ATTACK"	"Гравець %s1 штовхає персонажа %s2, йому допомагає гравець %s3"
"[english]L4D_HIT_PUSH_ASSIST_ATTACK"	"%s1 pushed %s2, assisted by %s3"
"L4D_HIT_PUSH_ATTACK"	"Гравець %s1 штовхає персонажа %s2"
"[english]L4D_HIT_PUSH_ATTACK"	"%s1 pushed %s2"
"L4D_HIT_POUNCE_ATTACK"	"Гравець %s1 кидається на персонажа %s2, завдаючи %s3 очок урону"
"[english]L4D_HIT_POUNCE_ATTACK"	"%s1 pounced %s2 for %s3 damage"
"L4D_INCAPACITATE"	"Гравець %s1 знерухомлює персонажа %s2"
"[english]L4D_INCAPACITATE"	"%s1 incapacitated %s2"
"L4D_INCAPACITATE_ASSIST"	"Гравець %s1 домомагає знерухомити персонажа %s2"
"[english]L4D_INCAPACITATE_ASSIST"	"%s1 assisted incapacitating %s2"
"L4D_KILLED"	"Гравець %s1 вбиває персонажа %s2"
"[english]L4D_KILLED"	"%s1 killed %s2"
"L4D_KILLED_HUNTER"	"Гравець %s1 вбиває Мисливця"
"[english]L4D_KILLED_HUNTER"	"%s1 killed a Hunter"
"L4D_KILLED_BOOMER"	"Гравець %s1 вбиває Товстуна"
"[english]L4D_KILLED_BOOMER"	"%s1 killed a Boomer"
"L4D_KILLED_SMOKER"	"Гравець %s1 вбиває Курця"
"[english]L4D_KILLED_SMOKER"	"%s1 killed a Smoker"
"L4D_KILLED_SPITTER"	"Гравець %s1 вбив Плевальницю"
"[english]L4D_KILLED_SPITTER"	"%s1 killed a Spitter"
"L4D_KILLED_CHARGER"	"Гравець %s1 вбив Бурмила"
"[english]L4D_KILLED_CHARGER"	"%s1 killed a Charger"
"L4D_KILLED_JOCKEY"	"Гравець %s1 вбив Жокея"
"[english]L4D_KILLED_JOCKEY"	"%s1 killed a Jockey"
"L4D_DEFIBRILLATOR_USED"	"Гравець %s1 повертає персонажа %s2 до життя"
"[english]L4D_DEFIBRILLATOR_USED"	"%s1 brought %s2 back from the dead"
"L4D_SCAVENGE_DESTROY_GASCAN"	"Гравець %s1 знищує каністру з бензином"
"[english]L4D_SCAVENGE_DESTROY_GASCAN"	"%s1 destroyed a gas can"
"L4D_VS_REACHED_MARKER"	"Уцілілі вже пройшли %s1% шляху!"
"[english]L4D_VS_REACHED_MARKER"	"The Survivors have made it %s1% of the way!"
"L4D_Z_Tip_TANK_FRUSTRATED"	"Танк не може чекати - він повинен атакувати!\nВи втратили контроль над цим Танком."
"[english]L4D_Z_Tip_TANK_FRUSTRATED"	"A Tank cannot wait—it must attack!\nYou have lost control of this Tank."
"L4D_Z_Tip_RELOCATED_CLOSER_TO_SURVIVORS"	"Режисер перемістив вас ближче до Уцілілих"
"[english]L4D_Z_Tip_RELOCATED_CLOSER_TO_SURVIVORS"	"The Director has moved you closer to the Survivors"
"L4D_Scenario_Restart"	"Перезапуск сценарію…"
"[english]L4D_Scenario_Restart"	"Restarting the scenario..."
"L4D_Scenario_Survivors_Dead"	"Уцілілі були знищені"
"[english]L4D_Scenario_Survivors_Dead"	"The Survivors have been overwhelmed"
"L4D_Scenario_Finale_Death_Message"	"... але ваші товариші по команді ще можуть врятуватися"
"[english]L4D_Scenario_Finale_Death_Message"	"...but your teammates can still escape"
"L4D_Scenario_Radio_Destroyed"	"Радіо було знищено"
"[english]L4D_Scenario_Radio_Destroyed"	"The radio has been destroyed"
"L4D_Scenario_Finale_Won"	"Уцілілі врятувалися!"
"[english]L4D_Scenario_Finale_Won"	"The Survivors have escaped!"
"L4D_OnAwardSaved"	"Гравець %s1 рятує персонажа %s2"
"[english]L4D_OnAwardSaved"	"%s1 saved %s2"
"L4D_OnAwardSharing"	"%s1 лікує персонажа %s2"
"[english]L4D_OnAwardSharing"	"%s1 gave health to %s2"
"L4D_OnAwardSharingAdrenaline"	"Гравець %s1 передає адреналін персонажу %s2"
"[english]L4D_OnAwardSharingAdrenaline"	"%s1 gave adrenaline to %s2"
"L4D_OnAwardProtector"	"Гравець %s1 захищає персонажа %s2"
"[english]L4D_OnAwardProtector"	"%s1 protected %s2"
"L4D_OnAwardRescuer"	"Гравець %s1 рятує персонажа %s2"
"[english]L4D_OnAwardRescuer"	"%s1 rescued %s2"
"L4D_OnAwardMedic"	"Гравець %s1 лікує персонажа %s2"
"[english]L4D_OnAwardMedic"	"%s1 healed %s2"
"L4D_TankRangeCull"	"Всі Уцілілі\nзнаходяться далеко.\nІдіть до них, або вас скоро вб'ють…"
"[english]L4D_TankRangeCull"	"All of the Survivors\nare too far away.\nGet close or be killed soon..."
"L4D_ZombieRangeCull"	"Всі Уцілілі\nзнаходяться далеко.\nПеремістіться ближче до них…"
"[english]L4D_ZombieRangeCull"	"All of the Survivors\nare too far away.\nGet close or be moved closer..."
"L4D_ZombieFinaleStart"	"Убийте Уцілілих, поки їх не врятували"
"[english]L4D_ZombieFinaleStart"	"Kill the Survivors before they are rescued"
"L4D_ZombieGoal"	"Не дайте Уцілілим дістатися до безпечного місця"
"[english]L4D_ZombieGoal"	"Prevent the Survivors from reaching safety"
"L4D_ZombieCheckPointDoor"	"Ви не можете зламати двері укриття. Знайдіть обхід."
"[english]L4D_ZombieCheckPointDoor"	"You can't break down safe room doors. Find a way around."
"L4D_Zombie_UI_Press"	"Натисніть "
"[english]L4D_Zombie_UI_Press"	"Press "
"L4D_Zombie_UI_Not_Bound"	"< не призначено >"
"[english]L4D_Zombie_UI_Not_Bound"	"< not bound >"
"L4D_Zombie_UI_Become"	" щоб стати "
"[english]L4D_Zombie_UI_Become"	" to become the "
"L4D_Zombie_UI_Tank"	"ТАНК"
"[english]L4D_Zombie_UI_Tank"	"TANK"
"L4D_Zombie_UI_Will_Become"	"Ви станете "
"[english]L4D_Zombie_UI_Will_Become"	"You will become a "
"L4D_Zombie_UI_One_Second"	" через 1 секунду"
"[english]L4D_Zombie_UI_One_Second"	" in 1 second"
"L4D_Zombie_UI_Are_Become"	"Ви стаєте "
"[english]L4D_Zombie_UI_Are_Become"	"You are becoming "
"L4D_Zombie_UI_In"	" через"
"[english]L4D_Zombie_UI_In"	" in"
"L4D_Zombie_UI_Seconds"	"сек."
"[english]L4D_Zombie_UI_Seconds"	"seconds"
"L4D_Zombie_UI_Become_This"	" щоб стати цим "
"[english]L4D_Zombie_UI_Become_This"	" to become this "
"L4D_Zombie_UI_Too_Far"	"ЗАНАДТО ДАЛЕКО ВІД Уцілілих"
"[english]L4D_Zombie_UI_Too_Far"	"TOO FAR FROM THE SURVIVORS"
"L4D_Zombie_UI_Being_Moved_Closer"	"Вас переміщують ближче до Уцілілих..."
"[english]L4D_Zombie_UI_Being_Moved_Closer"	"You are being moved closer to the Survivors..."
"L4D_Zombie_UI_To_Be_Moved"	"Перемістіться ближче до Уцілілих"
"[english]L4D_Zombie_UI_To_Be_Moved"	"Move closer to the Survivors"
