"lang"
{
"Language"	"portuguese"
"L4D_Instructor_explain_use_door"	"Abrir/fechar porta"
"[english]L4D_Instructor_explain_use_door"	"Open/close door"
"L4D_Instructor_notify_ledge"	"Um colega tem de te puxar para cima"
"[english]L4D_Instructor_notify_ledge"	"A teammate must pull you up"
"L4D_Instructor_help_ledge"	"Puxa %s1 para cima"
"[english]L4D_Instructor_help_ledge"	"Pull %s1 up"
"L4D_Instructor_notify_dead"	"Morreste! Aguarda para reentrares em jogo..."
"[english]L4D_Instructor_notify_dead"	"You died! Please wait to respawn..."
"L4D_Instructor_notify_dead_by_witch1"	"A Witch matou-te! Para a próxima, não a perturbes..."
"[english]L4D_Instructor_notify_dead_by_witch1"	"The Witch killed you! Don't startle her next time..."
"L4D_Instructor_notify_dead_by_witch2"	"Lanternas e disparos perturbam as Witches"
"[english]L4D_Instructor_notify_dead_by_witch2"	"Witches are startled by flashlights and gunfire"
"L4D_Instructor_notify_incapacitated"	"Incapacitado! Precisas da ajuda de um amigo"
"[english]L4D_Instructor_notify_incapacitated"	"Incapacitated! A teammate must help you"
"L4D_Instructor_notify_incapacitated_by_witch"	"A Witch feriu-te! Para a próxima, não a perturbes..."
"[english]L4D_Instructor_notify_incapacitated_by_witch"	"The Witch injured you! Don't startle her next time..."
"L4D_Instructor_help_incapacitated"	"Ajuda %s1 a levantar-se"
"[english]L4D_Instructor_help_incapacitated"	"Help %s1 up"
"L4D_Instructor_notify_it1_vomit"	"Um Boomer vomitou em ti"
"[english]L4D_Instructor_notify_it1_vomit"	"A Boomer vomited on you"
"L4D_Instructor_notify_it1_splatter"	"Um Boomer explodiu sobre ti"
"[english]L4D_Instructor_notify_it1_splatter"	"A Boomer exploded on you"
"L4D_Instructor_notify_it1_jar"	"Um Sobrevivente bombardeou-te com bílis"
"[english]L4D_Instructor_notify_it1_jar"	"A Survivor bile bombed you"
"L4D_Instructor_notify_it2"	"Atenção! O vómito de Boomer atrai a horda..."
"[english]L4D_Instructor_notify_it2"	"Watch out! Boomer bile attracts the horde..."
"L4D_Instructor_notify_pounced"	"Preso! Um colega tem de te ajudar..."
"[english]L4D_Instructor_notify_pounced"	"Pinned! A teammate must help..."
"L4D_Instructor_notify_choked"	"Estrangulado! Um colega tem de te ajudar..."
"[english]L4D_Instructor_notify_choked"	"Constricted! A teammate must help..."
"L4D_Instructor_notify_choked_miss"	"Falhaste: Sem alvo"
"[english]L4D_Instructor_notify_choked_miss"	"Missed: No target"
"L4D_Instructor_notify_charger_pummeled"	"Espancado! Um colega tem de te ajudar..."
"[english]L4D_Instructor_notify_charger_pummeled"	"Pummeled! A teammate must help..."
"L4D_Instructor_help_it"	"Um Boomer vomitou sobre %s1"
"[english]L4D_Instructor_help_it"	"A Boomer has vomited on %s1"
"L4D_Instructor_help_choked"	"Um Smoker está a estrangular %s1"
"[english]L4D_Instructor_help_choked"	"A Smoker is constricting %s1"
"L4D_Instructor_help_choked_near"	"Liberta %s1"
"[english]L4D_Instructor_help_choked_near"	"Free %s1"
"L4D_Instructor_help_choked_far"	"Dispara contra o Smoker"
"[english]L4D_Instructor_help_choked_far"	"Shoot the Smoker"
"L4D_Instructor_help_pounced"	"Um Hunter imobilizou %s1"
"[english]L4D_Instructor_help_pounced"	"A Hunter has pinned %s1"
"L4D_Instructor_help_pounced_near"	"Empurra o Hunter"
"[english]L4D_Instructor_help_pounced_near"	"Shove the Hunter"
"L4D_Instructor_help_pounced_far"	"Dispara contra o Hunter"
"[english]L4D_Instructor_help_pounced_far"	"Shoot the Hunter"
"L4D_Instructor_help_jockey_ridden"	"Um Jockey está a cavalgar %s1"
"[english]L4D_Instructor_help_jockey_ridden"	"A Jockey is riding %s1"
"L4D_Instructor_help_jockey_ridden_near"	"Empurra o Jockey"
"[english]L4D_Instructor_help_jockey_ridden_near"	"Shove the Jockey"
"L4D_Instructor_help_jockey_ridden_far"	"Dispara contra o Jockey"
"[english]L4D_Instructor_help_jockey_ridden_far"	"Shoot the Jockey"
"L4D_Instructor_help_charger_pummeled"	"Um Charger está a espancar %s1"
"[english]L4D_Instructor_help_charger_pummeled"	"A Charger is pummeling %s1"
"L4D_Instructor_help_charger_pummeled_kill"	"Mata o Charger"
"[english]L4D_Instructor_help_charger_pummeled_kill"	"Kill the Charger"
"L4D_Instructor_explain_tank"	"Tanks podem resistir a uma grande quantidade de dano antes de morrer"
"[english]L4D_Instructor_explain_tank"	"Tanks can absorb a lot of damage before they die"
"L4D_Instructor_explain_pickup_item"	"Levar"
"[english]L4D_Instructor_explain_pickup_item"	"Pick up"
"L4D_Instructor_explain_use_turret"	"Usar metralhadora"
"[english]L4D_Instructor_explain_use_turret"	"Use turret"
"L4D_Instructor_earned_bronze_medal"	"Ganhaste a medalha de bronze!"
"[english]L4D_Instructor_earned_bronze_medal"	"You earned the bronze medal!"
"L4D_Instructor_earned_silver_medal"	"Ganhaste a medalha de prata!"
"[english]L4D_Instructor_earned_silver_medal"	"You earned the silver medal!"
"L4D_Instructor_earned_gold_medal"	"Ganhaste a medalha de ouro!"
"[english]L4D_Instructor_earned_gold_medal"	"You earned the gold medal!"
"L4D_Instructor_player_record"	"Superaste o teu melhor tempo!"
"[english]L4D_Instructor_player_record"	"You beat your best time!"
"L4D_Instructor_team_record"	"Bateste o recorde da equipa!"
"[english]L4D_Instructor_team_record"	"You beat your team record!"
"L4D_Instructor_world_record"	"Bateste o recorde mundial!"
"[english]L4D_Instructor_world_record"	"You beat the world record!"
"L4D_Instructor_explain_adrenaline"	"Adrenalina"
"[english]L4D_Instructor_explain_adrenaline"	"Adrenaline"
"L4D_Instructor_explain_adrenaline_get"	"Levar adrenalina"
"[english]L4D_Instructor_explain_adrenaline_get"	"Get adrenaline"
"L4D_Instructor_notify_adrenaline_self"	"Usa adrenalina para aumentar temporariamente a tua velocidade"
"[english]L4D_Instructor_notify_adrenaline_self"	"Take adrenaline for a temporary speed boost"
"L4D_Instructor_notify_given_item_adrenaline"	"%s1 deu-te adrenalina"
"[english]L4D_Instructor_notify_given_item_adrenaline"	"%s1 gave you adrenaline"
"L4D_Instructor_notify_give_adrenaline"	"Podes dar a tua adrenalina a %s1"
"[english]L4D_Instructor_notify_give_adrenaline"	"You can give %s1 your adrenaline"
"L4D_Instructor_notify_give_adrenaline_far"	"Aproxima-te para dar a tua adrenalina a %s1"
"[english]L4D_Instructor_notify_give_adrenaline_far"	"Move closer to give %s1 your adrenaline"
"L4D_Instructor_notify_give_adrenaline_near"	"Dá a tua adrenalina a %s1"
"[english]L4D_Instructor_notify_give_adrenaline_near"	"Give %s1 your adrenaline"
"L4D_Instructor_notify_give_adrenaline_near_select"	"Selecionar adrenalina"
"[english]L4D_Instructor_notify_give_adrenaline_near_select"	"Select adrenaline"
"L4D_Instructor_adrenaline_usage"	"A adrenalina permite efetuar muitas ações mais rapidamente"
"[english]L4D_Instructor_adrenaline_usage"	"Adrenaline lets you perform many actions faster"
"L4D_Instructor_notify_failed_to_give_duplicate_belt_item"	"%s1 já tem um item desse tipo"
"[english]L4D_Instructor_notify_failed_to_give_duplicate_belt_item"	"%s1 already has a belt slot item"
"L4D_Instructor_explain_ammo_pack"	"Caixa de munições"
"[english]L4D_Instructor_explain_ammo_pack"	"Ammo Pack"
"L4D_Instructor_explain_ammo_pack_get"	"Levar caixa de munições"
"[english]L4D_Instructor_explain_ammo_pack_get"	"Get ammo pack"
"L4D_Instructor_notify_give_ammo_other_near"	"Mantém %+attack2% premido para dares munições a %s1"
"[english]L4D_Instructor_notify_give_ammo_other_near"	"Hold %+attack2% to give ammo to %s1"
"L4D_Instructor_notify_give_ammo_self"	"Reabastece as tuas munições"
"[english]L4D_Instructor_notify_give_ammo_self"	"Refill your ammo with the ammo pack"
"L4D_Instructor_notify_give_ammo_self_hold"	"Mantém %+attack% premido para reabasteceres as munições"
"[english]L4D_Instructor_notify_give_ammo_self_hold"	"Hold %+attack% to refill your ammo"
"L4D_Instructor_notify_failed_to_use_ammo_pack_no_weapon_on_other"	"%s1 não necessita de munições neste momento"
"[english]L4D_Instructor_notify_failed_to_use_ammo_pack_no_weapon_on_other"	"%s1 doesn't need ammo right now"
"L4D_Instructor_notify_failed_to_use_ammo_pack_no_weapon_on_self"	"Não necessitas de munições neste momento"
"[english]L4D_Instructor_notify_failed_to_use_ammo_pack_no_weapon_on_self"	"You don't need ammo right now"
"L4D_Instructor_notify_failed_to_use_ammo_pack_full_on_other"	"%s1 já tem o máximo de munições"
"[english]L4D_Instructor_notify_failed_to_use_ammo_pack_full_on_other"	"%s1 already has full ammo"
"L4D_Instructor_notify_failed_to_use_ammo_pack_full_on_self"	"Já tens o máximo de munições"
"[english]L4D_Instructor_notify_failed_to_use_ammo_pack_full_on_self"	"You already have full ammo"
"L4D_Instructor_notify_failed_to_use_ammo_pack_doesnt_use_ammo"	"Não necessitas de munições neste momento"
"[english]L4D_Instructor_notify_failed_to_use_ammo_pack_doesnt_use_ammo"	"You don't need ammo right now"
"L4D_Instructor_notify_failed_to_use_ammo_pack_other_doesnt_use_ammo"	"%s1 não necessita de munições neste momento"
"[english]L4D_Instructor_notify_failed_to_use_ammo_pack_other_doesnt_use_ammo"	"%s1 doesn't need ammo right now"
"L4D_Instructor_explain_scavenge_goal_survivor"	"Recolhe bidões de combustível e verte-os para o gerador..."
"[english]L4D_Instructor_explain_scavenge_goal_survivor"	"Collect gas cans and pour them into the generator..."
"L4D_Instructor_explain_scavenge_goal_infected"	"Pára os sobreviventes antes que apanhem todos os bidões de combustível"
"[english]L4D_Instructor_explain_scavenge_goal_infected"	"Stop the survivors before they collect all of the gas cans"
"L4D_Instructor_begin_scavenge_overtime_survivor"	"TEMPO EXCEDIDO: Pelo menos um sobrevivente deve transportar um bidão de combustível!"
"[english]L4D_Instructor_begin_scavenge_overtime_survivor"	"OVERTIME: At least one survivor must be carrying a gas can!"
"L4D_Instructor_begin_scavenge_overtime_infected"	"TEMPO EXCEDIDO: Obriga todos os sobreviventes a largar os seus bidões de combustível!"
"[english]L4D_Instructor_begin_scavenge_overtime_infected"	"OVERTIME: Force all survivors to drop their gas cans!"
"L4D_Instructor_scavenge_score_tied"	"Mais um ponto e os sobreviventes vencem esta ronda!"
"[english]L4D_Instructor_scavenge_score_tied"	"One more point and the survivors win this round!"
"L4D_Instructor_exaplin_scavenge_leave_area"	"Ao abandonar esta área irás iniciar a ronda"
"[english]L4D_Instructor_exaplin_scavenge_leave_area"	"Leaving this area will start the round"
"L4D_Instructor_explain_scavenge_vulnerable_cans"	"Os bidões de combustível largados são vulneráveis ao ácido da Spitter"
"[english]L4D_Instructor_explain_scavenge_vulnerable_cans"	"Dropped gas cans are vulnerable to Spitter goo"
"L4D_Instructor_explain_survivor_glows_disabled"	"Os contornos brilhantes em redor dos Sobreviventes estão desativados!"
"[english]L4D_Instructor_explain_survivor_glows_disabled"	"Glows around fellow Survivors are disabled!"
"L4D_Instructor_explain_item_glows_disabled"	"Os contornos brilhantes em redor dos itens estão desativados. Procura com cuidado!"
"[english]L4D_Instructor_explain_item_glows_disabled"	"Glows around items are disabled. Search carefully!"
"L4D_Instructor_explain_rescue_disabled"	"Os salvamentos estão desativados. Os jogadores só podem voltar ao jogo em refúgios."
"[english]L4D_Instructor_explain_rescue_disabled"	"Rescues are disabled. Players can only respawn at safe rooms."
"L4D_Instructor_explain_bodyshots_reduced"	"Os zombies aguentam mais danos no corpo. Aponta para a cabeça!"
"[english]L4D_Instructor_explain_bodyshots_reduced"	"Zombies take less damage to the body. Aim for the head!"
"L4D_Instructor_explain_witch_kills"	"A Witch pode matar-te instantaneamente. Cuidado com ela!"
"[english]L4D_Instructor_explain_witch_kills"	"The Witch will kill you instantly. Watch out for her!"
"L4D_Instructor_notify_grenade_launcher_range"	"Au! Estás demasiado perto das explosões do teu lança-granadas!"
"[english]L4D_Instructor_notify_grenade_launcher_range"	"Ouch! You are too close to your grenade launcher blasts!"
"L4D_Tip_Revive"	"Socorre colegas incapacitados antes que sangrem até à morte."
"[english]L4D_Tip_Revive"	"Revive fallen teammates before they bleed out."
"L4D_Tip_Heal"	"Cura-te a ti e aos teus colegas com kits de primeiros socorros, analgésicos, desfibrilhadores e seringas de adrenalina."
"[english]L4D_Tip_Heal"	"Heal yourself and your teammates with first aid kits, pain pills, defibrillators and adrenaline shots."
"L4D_Tip_Shove"	"Empurra os Infectados se eles se aproximarem demasiado. Prime %+attack2% para os empurrar."
"[english]L4D_Tip_Shove"	"Shove Infected away if they get too close. Press %+attack2% to shove."
"L4D_Tip_Items"	"Procura por armas e outros itens úteis."
"[english]L4D_Tip_Items"	"Search for weapons and useful items."
"L4D_Tip_Boomer"	"Empurra os Boomers antes de disparares sobre eles."
"[english]L4D_Tip_Boomer"	"Shove Boomers away before you shoot them."
"L4D_Tip_Witch"	"Evita confronto direto com a Witch. Ela é mais perigosa do que parece."
"[english]L4D_Tip_Witch"	"Sneak around the Witch. She is more dangerous than she looks."
"L4D_Tip_Smoker"	"Os Smokers conseguem puxar Sobreviventes a grandes distâncias."
"[english]L4D_Tip_Smoker"	"Smokers can pull Survivors great distances."
"L4D_Tip_Tank"	"Toda a equipa terá de se juntar para derrotar um Tank."
"[english]L4D_Tip_Tank"	"The whole team will need to gang up to bring the Tank down."
"L4D_Tip_Hunter"	"Os Hunters movem-se rapidamente e conseguem saltar grandes distâncias. Presta atenção ao seu grito distinto."
"[english]L4D_Tip_Hunter"	"Hunters move quickly and can leap great distances. Keep an ear out for their distinctive scream."
"L4D_Tip_Hunter2"	"O ataque furtivo do Hunter deixa os Sobreviventes indefesos. Salva os colegas de equipa atacados ou eles morrerão!"
"[english]L4D_Tip_Hunter2"	"The Hunter's pounce attack leaves Survivors completely helpless. Save pounced teammates or they will die!"
"L4D_Tip_Checkpoint"	"Dirige-te ao próximo refúgio. Procura pelas portas vermelhas de aço."
"[english]L4D_Tip_Checkpoint"	"Get to the next safe room. Look for the red steel doors."
"L4D_Tip_bullets"	"Balas podem perfurar portas, mobília e paredes finas. Balas da espingarda de caça conseguem perfurar quase tudo."
"[english]L4D_Tip_bullets"	"Bullets can pierce through doors, furniture and thin walls. Hunting rifle rounds can pierce almost anything."
"L4D_Tip_doors"	"Os Infectados não conseguem abrir portas. Eles têm de as deitar abaixo."
"[english]L4D_Tip_doors"	"Infected cannot open doors. They must break through them."
"L4D_Tip_pain_pills"	"Analgésicos permitem-te recuperar vida, mas tem cuidado! O efeito passa ao longo do tempo."
"[english]L4D_Tip_pain_pills"	"Pain pills give you a temporary health boost. But be careful—it wears off over time."
"L4D_Tip_crouch"	"Abaixa-te durante os ataques da horda, para que os colegas de equipa atrás de ti possam disparar por cima da tua cabeça."
"[english]L4D_Tip_crouch"	"Crouch during horde attacks, so teammates standing behind you can shoot over your head."
"L4D_Tip_reload_speeds"	"Demoras mais tempo a recarregar uma arma se esvaziares totalmente o carregador."
"[english]L4D_Tip_reload_speeds"	"It takes longer to reload a weapon if you empty the magazine entirely."
"L4D_Tip_shotgun"	"As caçadeiras são devastadoras em combates a curtas distâncias, mas são menos eficazes se o alvo estiver longe."
"[english]L4D_Tip_shotgun"	"Shotguns can be devastating for close quarters combat. They are less effective at longer range."
"L4D_Tip_pipe_bomb"	"As bombas de tubo irão atrair os Infectados Comuns para longe de ti antes de explodirem."
"[english]L4D_Tip_pipe_bomb"	"Pipe bombs will lure Common Infected away from you before exploding."
"L4D_Tip_safe_room_heal"	"Cura-te e reabastece-te de munições sempre antes de abandonares um refúgio."
"[english]L4D_Tip_safe_room_heal"	"Always heal up and resupply ammunition before leaving a safe room."
"L4D_Tip_witch_annoyances"	"As Witches irão atacar se ouvirem barulho, virem luzes ou se sobreviventes se aproximarem delas."
"[english]L4D_Tip_witch_annoyances"	"Witches will attack if they hear loud noises, see flashlights, or are approached."
"L4D_Tip_Charger"	"Chargers são capazes de derrubar uma equipa inteira. Um Charger não irá soltar um Sobrevivente depois de agarrá-lo."
"[english]L4D_Tip_Charger"	"Chargers are capable of knocking down an entire team. A Charger will not release a Survivor once they have you pinned."
"L4D_Tip_Jockey"	"Os Jockeys podem levar-te para longe dos teus colegas de equipa, para trás de obstáculos ou para o perigo."
"[english]L4D_Tip_Jockey"	"Jockeys can steer you away from your teammates, behind obstacles, or into danger."
"L4D_Tip_grenadelauncher"	"O lança-granadas pode matar vários inimigos com um só disparo."
"[english]L4D_Tip_grenadelauncher"	"The grenade launcher can kill multiple enemies with one shot."
"L4D_Tip_explosive_ammo"	"As munições explosivas atordoam Infectados Especiais."
"[english]L4D_Tip_explosive_ammo"	"Explosive Ammo stumbles Special Infected."
"L4D_Tip_incendiary_ammo"	"As munições incendiárias deixam o alvo a arder."
"[english]L4D_Tip_incendiary_ammo"	"Incendiary Ammo lights your target on fire."
"L4D_Tip_spitter"	"Atenção ao ácido da Spitter. Quanto mais tempo ficares nele, mais dano irás sofrer."
"[english]L4D_Tip_spitter"	"Watch out for Spitter goo. The longer you stand in it, the more damage it does to you."
"L4D_Tip_adrenaline"	"A adrenalina aumenta temporariamente a tua mobilidade, o que te ajuda a enfrentar melhor uma horda de zombies."
"[english]L4D_Tip_adrenaline"	"Adrenaline gives you a temporary energy boost, and makes it easier to run through a horde."
"L4D_Tip_lasersight"	"As miras a laser aumentam a precisão da arma."
"[english]L4D_Tip_lasersight"	"Laser sights increase your weapon's accuracy."
"L4D_Tip_melee"	"Empurra Infectados que te estejam a atacar para teres mais espaço de manobra e melhores condições para disparar."
"[english]L4D_Tip_melee"	"Knock back attacking Infected for breathing room and a better shot."
"L4D_Tip_upgradepack"	"Melhora a tua arma para poderes disparar munições incendiárias ou explosivas."
"[english]L4D_Tip_upgradepack"	"Upgrade your weapon to fire specialty incendiary and explosive ammo."
"L4D_Tip_boomer_bile"	"Atira frascos de bílis aos Infectados para atraíres a horda."
"[english]L4D_Tip_boomer_bile"	"Throw Bile Bombs at Infected to attract the horde."
"L4D_Tip_vulnerable_gascan"	"Numa partida no modo Busca, bidões de combustível que forem largados ficam vulneráveis ao ácido da Spitter."
"[english]L4D_Tip_vulnerable_gascan"	"In a Scavenge match, dropped gas cans are vulnerable to Spitter goo."
"L4D_Z_Tip_falling"	"Os Infectados não sofrem dano com quedas."
"[english]L4D_Z_Tip_falling"	"Infected don't take damage from falling."
"L4D_Z_Tip_glows"	"Os Infectados conseguem ver os Sobreviventes através das paredes. A cor do contorno brilhante deles indica o estado de saúde."
"[english]L4D_Z_Tip_glows"	"Infected can see the Survivors through walls. The color of their glowing outlines shows how healthy they are."
"L4D_Z_Tip_break_doors"	"Derruba portas fechadas premindo repetidamente %+attack2%"
"[english]L4D_Z_Tip_break_doors"	"Break through closed doors by repeatedly pressing %+attack2%"
"L4D_Z_Tip_no_break_saferoom_doors"	"Não podes partir portas de refúgios. Encontra uma via alternativa."
"[english]L4D_Z_Tip_no_break_saferoom_doors"	"You cannot break down safe room doors. Find a way around."
"L4D_Z_Tip_hunter_leap_aim"	"Para saltares mais longe como Hunter, aponta para cima antes de saltares."
"[english]L4D_Z_Tip_hunter_leap_aim"	"To leap farther as a Hunter, aim upwards before leaping."
"L4D_Z_Tip_hunter_wallkick"	"Os Hunters podem subir até locais elevados, saltando de parede em parede em pleno ar. Ao tocares numa parede, vira-te, olha para cima e salta novamente!"
"[english]L4D_Z_Tip_hunter_wallkick"	"Hunters can climb to high places by leaping off of walls in midair. Just as you touch a wall, turn away, aim up, and leap again!"
"L4D_360_Hint_hunter_wallkick"	"Os Hunters podem subir até locais elevados, saltando de parede em parede em pleno ar. Ao tocar numa parede, prime %+lookspin%, e depois %+jump% para saltar de novo!"
"[english]L4D_360_Hint_hunter_wallkick"	"Hunters can climb to high places by leaping off of walls in midair. Just as you touch a wall, press %+lookspin%, then %+jump% to leap again!"
"L4D_Z_Tip_hunter_pounce_committed"	"Se fores um Hunter, depois de teres atacado furtivamente uma vítima, podes parar o ataque a qualquer altura."
"[english]L4D_Z_Tip_hunter_pounce_committed"	"As a Hunter, after you have pounced on a victim, you can break off the attack at any time."
"L4D_Z_Tip_hunter_pounce_incaps"	"Os Hunters podem atacar furtivamente Sobreviventes incapacitados."
"[english]L4D_Z_Tip_hunter_pounce_incaps"	"Hunters can pounce onto incapacitated Survivors."
"L4D_Z_Tip_boomer_slow"	"Esconde-te e arma ciladas aos Sobreviventes. Não corras na direção deles em espaço aberto."
"[english]L4D_Z_Tip_boomer_slow"	"Hide and ambush Survivors. Don't run at them in the open."
"L4D_Z_Tip_boomer_pop"	"Se fores um Boomer, aproxima-te o mais possível dos Sobreviventes antes de seres alvejado ou queimado para que os possas cobrir com bílis."
"[english]L4D_Z_Tip_boomer_pop"	"As a Boomer, get as close as you can to Survivors before you are shot or burned, so you can shower them with bile."
"L4D_Z_Tip_boomer_bomb"	"Se fores um Boomer, lança-te sobre os Sobreviventes a partir de uma grande altura — isto é uma excelente maneira de cobrir todos de bílis."
"[english]L4D_Z_Tip_boomer_bomb"	"As a Boomer, dive-bombing Survivors from a great height is an excellent way to coat the whole team in bile."
"L4D_Z_Tip_boomer_it"	"O vómito de Boomer atrai a horda. Um grande número de Infectados prefere atacar um Sobrevivente isolado coberto de vómito."
"[english]L4D_Z_Tip_boomer_it"	"Boomer bile attracts the horde. Large numbers of Infected will single out bile-covered Survivors for attack."
"L4D_Z_Tip_boomer_recharge"	"Um Boomer pode lançar vómito mais do que uma vez. Quando o estômago estiver cheio de novo, podes voltar a vomitar."
"[english]L4D_Z_Tip_boomer_recharge"	"A Boomer can projectile vomit more than once. When your stomach is full again, you're ready to spew anew."
"L4D_Z_Tip_boomer_vomit_no_move"	"Os Boomers não conseguem mover-se enquanto vomitam."
"[english]L4D_Z_Tip_boomer_vomit_no_move"	"Boomers cannot move while vomiting."
"L4D_Z_Tip_smoker_choke"	"Quando os Smokers atacam a partir de telhados, podem prender Sobreviventes sem se exporem a perigo."
"[english]L4D_Z_Tip_smoker_choke"	"When Smokers attack from rooftops, they can ensnare Survivors without making themselves an easy target."
"L4D_Z_Tip_smoker_choke_committed"	"Se fores um Smoker, prime %+attack% para parares o ataque e soltares um Sobrevivente."
"[english]L4D_Z_Tip_smoker_choke_committed"	"As a Smoker, press %+attack% to break off your attack and release a Survivor."
"L4D_Z_Tip_smoker_poison"	"Se fores um Smoker, lembra-te que se puxares um Sobrevivente até ti, podes atacá-lo enquanto este estiver indefeso."
"[english]L4D_Z_Tip_smoker_poison"	"As a Smoker, if you pull a Survivor all the way to you, you can attack them while they are helpless."
"L4D_Z_Tip_tank_health"	"Se fores um Tank, não fiques à espera. Mantém os Sobreviventes sob pressão — avança e ataca!"
"[english]L4D_Z_Tip_tank_health"	"Don't wait around when playing as a Tank. Keep pressure on the Survivors—rush in and attack!"
"L4D_Z_Tip_tank_self_control"	"Se fores um Tank, lembra-te que se não atacares, o controlo ser-te-á retirado e perderás a tua vez."
"[english]L4D_Z_Tip_tank_self_control"	"As a Tank, if you don't stay on the attack, control will be taken away and you will lose your turn."
"L4D_Z_Tip_tank_throw"	"Se um Sobrevivente estiver demasiado longe para lhe bateres, prime %+attack2% para lhe atirares escombros."
"[english]L4D_Z_Tip_tank_throw"	"If a Survivor is too far away to punch, throw a chunk of debris at them by pressing %+attack2%."
"L4D_Z_Tip_tank_attack_incaps"	"Os Tanks conseguem matar com facilidade Sobreviventes incapacitados ao premirem %+attack% quando estiverem em cima deles."
"[english]L4D_Z_Tip_tank_attack_incaps"	"Tanks can quickly kill incapacitated Survivors by standing over them and pressing %+attack%."
"L4D_Z_Tip_tank_break_walls"	"Se fores um Tank, procura paredes com contornos brilhantes. Prime %+attack% para derrubá-las com um soco."
"[english]L4D_Z_Tip_tank_break_walls"	"As a Tank, look for walls with glowing outlines. Press %+attack% to punch through them."
"L4D_Z_Tip_tank_punch_cars"	"Se fores um Tank, fica atento a carros com contornos brilhantes. Prime %+attack% para atirá-los a Sobreviventes."
"[english]L4D_Z_Tip_tank_punch_cars"	"As a Tank, keep an eye out for cars with glowing outlines. Press %+attack% to hurl them at Survivors."
"Cstrike_Combat_Title"	"COMBATE"
"[english]Cstrike_Combat_Title"	"COMBAT"
"Cstrike_Fire"	"Disparar"
"[english]Cstrike_Fire"	"Fire"
"Cstrike_Menu_Title"	"MENU"
"[english]Cstrike_Menu_Title"	"MENU"
"Cstrike_Menu_Item_0"	"Item 0"
"[english]Cstrike_Menu_Item_0"	"Menu item 0"
"Cstrike_Menu_Item_1"	"Item 1"
"[english]Cstrike_Menu_Item_1"	"Menu item 1"
"Cstrike_Menu_Item_2"	"Item 2"
"[english]Cstrike_Menu_Item_2"	"Menu item 2"
"Cstrike_Menu_Item_3"	"Item 3"
"[english]Cstrike_Menu_Item_3"	"Menu item 3"
"Cstrike_Menu_Item_4"	"Item 4"
"[english]Cstrike_Menu_Item_4"	"Menu item 4"
"Cstrike_Menu_Item_5"	"Item 5"
"[english]Cstrike_Menu_Item_5"	"Menu item 5"
"Cstrike_Menu_Item_6"	"Item 6"
"[english]Cstrike_Menu_Item_6"	"Menu item 6"
"Cstrike_Menu_Item_7"	"Item 7"
"[english]Cstrike_Menu_Item_7"	"Menu item 7"
"Cstrike_Menu_Item_8"	"Item 8"
"[english]Cstrike_Menu_Item_8"	"Menu item 8"
"Cstrike_Menu_Item_9"	"Item 9"
"[english]Cstrike_Menu_Item_9"	"Menu item 9"
"Cstrike_Select_Team"	"Selecionar equipa"
"[english]Cstrike_Select_Team"	"Select team"
"Cstrike_TitlesTXT_CT_Forces"	"Infectado"
"[english]Cstrike_TitlesTXT_CT_Forces"	"Infected"
"Cstrike_TitlesTXT_CTs_Full"	"A equipa dos Infectados está cheia"
"[english]Cstrike_TitlesTXT_CTs_Full"	"The Infected team is full"
"Cstrike_TitlesTXT_CTs_Win"	"Os Infectados ganharam!"
"[english]Cstrike_TitlesTXT_CTs_Win"	"Infected win!"
"Cstrike_TitlesTXT_Game_join_ct"	"%s1 vai juntar-se aos Infectados"
"[english]Cstrike_TitlesTXT_Game_join_ct"	"%s1 is joining the Infected"
"Cstrike_TitlesTXT_Game_join_ct_auto"	"%s1 vai juntar-se aos Infectados (automático)"
"[english]Cstrike_TitlesTXT_Game_join_ct_auto"	"%s1 is joining the Infected (auto)"
"Cstrike_TitlesTXT_Game_join_terrorist"	"%s1 vai juntar-se aos Sobreviventes"
"[english]Cstrike_TitlesTXT_Game_join_terrorist"	"%s1 is joining the Survivors"
"Cstrike_TitlesTXT_Game_join_terrorist_auto"	"%s1 vai juntar-se aos Sobreviventes (automático)"
"[english]Cstrike_TitlesTXT_Game_join_terrorist_auto"	"%s1 is joining the Survivors (auto)"
"Cstrike_TitlesTXT_Game_timelimit"	"Tempo restante: %s1:%s2. A próxima campanha é %s3."
"[english]Cstrike_TitlesTXT_Game_timelimit"	"Time Remaining:  %s1:%s2. Next campaign is %s3."
"Cstrike_TitlesTXT_Terrorist_Forces"	"Sobreviventes"
"[english]Cstrike_TitlesTXT_Terrorist_Forces"	"Survivors"
"Cstrike_TitlesTXT_Terrorists_Full"	"A equipa dos Sobreviventes está cheia"
"[english]Cstrike_TitlesTXT_Terrorists_Full"	"The Survivor team is full"
"Cstrike_TitlesTXT_Terrorists_Win"	"Os Sobreviventes ganharam!"
"[english]Cstrike_TitlesTXT_Terrorists_Win"	"Survivors win!"
"Cstrike_TitlesTXT_Game_connected"	"%s1 conectou-se"
"[english]Cstrike_TitlesTXT_Game_connected"	"%s1 connected"
"Cstrike_TitlesTXT_Game_disconnected"	"%s1 abandonou a partida"
"[english]Cstrike_TitlesTXT_Game_disconnected"	"%s1 has left the game"
"Cstrike_TitlesTXT_Game_idle_kick"	"%s1 ficou parado demasiado tempo e foi expulso"
"[english]Cstrike_TitlesTXT_Game_idle_kick"	"%s1 has been idle for too long and has been kicked"
